stock_code,date,units_sold,closing_inventory,reorder_triggered,reorder_point,inventory_value,coverage_days
20734,2011-12-09,0.0,98.0,0,5.07,159.74,231.97
20735,2011-12-09,0.0,135.0,0,27.44,114.75,81.17
20748,2011-12-09,0.0,4.0,0,0.91,51.0,26.25
20749,2011-12-09,84.0,177.0,0,78.73,1407.15,43.84
20750,2011-12-09,1.0,24.0,0,32.16,190.8,10.07
20751,2011-12-09,0.0,266.0748663101604,0,38.52,558.76,145.06
20752,2011-12-09,0.0,28.401069518716557,0,4.96,59.64,34.38
20754,2011-12-09,0.0,196.0,0,33.37,411.6,70.48
20755,2011-12-09,0.0,184.29411764705884,0,11.65,156.65,261.08
20756,2011-12-09,0.0,139.0,0,1.83,118.15,912.04
20757,2011-12-09,0.0,180.0,0,5.07,153.0,426.08
20758,2011-12-09,0.0,186.0,0,2.55,158.1,437.51
20759,2011-12-09,0.0,145.0,0,1.8,123.25,847.34
20760,2011-12-09,0.0,147.0,0,1.26,124.95,872.67
20761,2011-12-09,0.0,37.01069518716578,0,2.36,138.79,141.24
20762,2011-12-09,0.0,36.0,0,4.5,135.0,132.0
20763,2011-12-09,0.0,41.49732620320856,0,2.77,155.61,224.93
20764,2011-12-09,0.0,30.85026737967914,0,4.97,115.69,93.05
20765,2011-12-09,0.0,36.45989304812835,0,2.81,136.72,136.36
20766,2011-12-09,0.0,34.80748663101605,0,5.95,130.53,122.81
20767,2011-12-09,0.0,45.10160427807486,0,2.94,115.01,92.17
20768,2011-12-09,0.0,49.0,0,4.77,124.95,107.8
20769,2011-12-09,0.0,62.0,0,1.07,158.1,346.09
20770,2011-12-09,0.0,76.0,0,4.97,190.76,160.59
20771,2011-12-09,0.0,61.11229946524065,0,5.28,155.84,243.15
20772,2011-12-09,0.0,34.41176470588235,0,6.18,87.75,58.5
20773,2011-12-09,0.0,90.0,0,2.92,148.5,601.07
20774,2011-12-09,0.0,92.19251336898397,0,2.6,152.12,425.68
20775,2011-12-09,0.0,96.09625668449198,0,5.91,156.64,268.21
20777,2011-12-09,2.0,94.93582887700536,0,5.13,154.75,221.91
20778,2011-12-09,0.0,56.0,0,0.36,92.4,1396.27
20780,2011-12-09,0.0,37.0,0,1.68,203.13,395.37
20781,2011-12-09,0.0,31.0,0,1.85,170.19,351.33
20782,2011-12-09,1.0,34.0,0,1.13,186.66,270.55
20785,2011-12-09,0.0,3.0,0,0.67,119.85,80.14
20793,2011-12-09,0.0,22.0,0,0.19,148.5,1028.5
20794,2011-12-09,0.0,65.0,0,3.49,165.75,307.72
20795,2011-12-09,0.0,70.0,0,2.07,147.0,608.84
20796,2011-12-09,0.0,91.0,0,1.6,150.15,680.68
20798,2011-12-09,0.0,81.0,0,1.59,170.1,841.5
20801,2011-12-09,0.0,75.0,0,23.46,59.25,28.77
20802,2011-12-09,0.0,419.0,0,8.53,691.35,221.02
20803,2011-12-09,0.0,542.0,0,14.29,211.38,227.51
20816,2011-12-09,0.0,45.0,0,0.26,87.75,2103.75
20818,2011-12-09,0.0,19.36898395721925,0,0.78,144.49,482.93
20819,2011-12-09,0.0,41.45454545454545,0,0.82,155.45,304.0
20820,2011-12-09,0.0,20.0,0,0.16,99.0,1496.0
20821,2011-12-09,0.0,32.0,0,0.75,158.4,704.0
20823,2011-12-09,0.0,254.0,0,3.29,200.66,579.24
20826,2011-12-09,0.0,468.0,0,12.18,182.52,634.17
20827,2011-12-09,0.0,332.0,0,2.12,129.48,1411.0
20828,2011-12-09,0.0,138.0,0,47.41,351.9,52.4
20829,2011-12-09,0.0,208.0,0,46.53,436.8,60.35
20830,2011-12-09,0.0,88.0,0,4.91,184.8,242.0
20831,2011-12-09,12.0,60.47058823529412,0,3.97,126.99,114.22
20832,2011-12-09,66.2566844919786,0.0,1,33.47,0.0,0.0
