stock_code,date,units_sold,closing_inventory,reorder_triggered,reorder_point,inventory_value,coverage_days
20750,2011-12-09,1.0,24.0,0,32.16,190.8,10.07
20832,2011-12-09,66.2566844919786,0.0,1,33.47,0.0,0.0
20846,2011-12-09,0.0,0.0,0,16.46,0.0,0.0
20971,2011-12-09,2.0,94.0,0,451.32,117.5,3.44
20972,2011-12-09,3.0,101.0,0,212.82,126.25,5.69
21064,2011-12-09,0.0,0.0,0,6.04,0.0,0.0
21098,2011-12-09,1.0,151.0,0,188.17,188.75,15.65
21115,2011-12-09,17.0,3.561497326203209,1,11.31,24.04,2.83
21123,2011-12-09,0.0,0.0,0,19.91,0.0,0.0
21137,2011-12-09,147.0,0.0,0,226.66,0.0,0.0
21164,2011-12-09,0.0,15.0,0,26.81,44.25,5.04
21166,2011-12-09,0.0,0.0,0,501.19,0.0,0.0
21174,2011-12-09,0.0,0.0,0,148.54,0.0,0.0
21175,2011-12-09,2.0,348.0,0,377.17,887.4,11.07
21181,2011-12-09,0.0,0.0,0,638.37,0.0,0.0
21189,2011-12-09,0.0,0.0,0,8.21,0.0,0.0
21209,2011-12-09,5.0,9.0,1,12.32,14.67,4.38
21217,2011-12-09,27.0,18.62566844919786,1,38.41,185.33,10.18
21232,2011-12-09,14.0,110.1229946524063,0,567.28,137.65,4.08
21258,2011-12-09,9.0,14.0,1,22.01,178.5,10.49
21340,2011-12-09,0.0,46.66844919786095,0,49.92,595.02,19.63
21408,2011-12-09,0.0,0.0,0,8.31,0.0,0.0
21417,2011-12-09,20.36363636363637,0.0,1,12.27,0.0,0.0
21462,2011-12-09,0.0,0.0,0,8.61,0.0,0.0
21463,2011-12-09,0.0,0.0,0,25.87,0.0,0.0
21504,2011-12-09,0.0,31.0,0,74.88,13.02,6.21
21537,2011-12-09,0.0,8.0,0,9.39,34.0,16.62
21563,2011-12-09,0.0,0.0,0,48.08,0.0,0.0
21564,2011-12-09,0.0,0.0,0,29.17,0.0,0.0
21616,2011-12-09,5.0,0.0,0,11.65,0.0,0.0
21705,2011-12-09,0.0,0.0,0,66.18,0.0,0.0
21733,2011-12-09,0.0,205.0,0,236.21,604.75,10.41
21745,2011-12-09,0.0,0.0,0,29.29,0.0,0.0
21775,2011-12-09,0.0,20.0,0,21.66,49.2,15.23
21791,2011-12-09,1.0,135.0,0,236.21,168.75,7.72
21868,2011-12-09,0.0,91.0,0,133.69,113.75,14.29
21890,2011-12-09,2.0,6.0,0,34.52,19.5,2.09
21928,2011-12-09,4.0,49.0,0,394.01,101.92,1.87
21990,2011-12-09,8.0,0.0,0,78.16,0.0,0.0
22055,2011-12-09,0.0,0.0,0,38.57,0.0,0.0
22061,2011-12-09,0.0,0.0,0,10.65,0.0,0.0
22063,2011-12-09,0.0,0.0,0,17.87,0.0,0.0
22068,2011-12-09,4.0,0.0,0,18.91,0.0,0.0
22069,2011-12-09,0.0,0.0,0,16.6,0.0,0.0
22083,2011-12-09,9.0,85.92513368983964,0,117.24,253.48,7.7
22086,2011-12-09,0.0,0.0,0,890.86,0.0,0.0
22118,2011-12-09,0.0,0.0,0,9.84,0.0,0.0
22119,2011-12-09,0.0,0.0,0,6.79,0.0,0.0
22142,2011-12-09,2.0,68.0,0,159.02,98.6,8.98
22161,2011-12-09,2.0,89.0,0,131.92,70.31,7.08
22166,2011-12-09,0.0,0.0,0,7.47,0.0,0.0
22173,2011-12-09,5.0,111.95187165775404,1,113.51,330.26,19.23
22178,2011-12-09,18.0,520.0,0,854.15,650.0,8.22
22188,2011-12-09,0.0,0.0,0,133.47,0.0,0.0
22199,2011-12-09,0.0,0.0,0,7.34,0.0,0.0
22203,2011-12-09,0.0,0.0,0,16.56,0.0,0.0
22207,2011-12-09,0.0,0.0,0,26.07,0.0,0.0
22211,2011-12-09,0.0,21.08021390374336,0,29.58,17.5,8.55
22212,2011-12-09,1.0,46.278074866310135,0,80.07,97.18,12.14
22215,2011-12-09,0.0,0.0,0,8.38,0.0,0.0
22217,2011-12-09,0.0,0.0,0,9.95,0.0,0.0
22219,2011-12-09,4.0,59.0,0,90.72,50.15,5.85
22220,2011-12-09,0.0,0.0,0,3.89,0.0,0.0
22221,2011-12-09,0.0,1.0,0,4.28,9.95,4.56
22274,2011-12-09,0.0,55.0,0,55.93,162.25,20.65
22306,2011-12-09,0.0,5.0,0,51.59,5.3,1.74
22308,2011-12-09,2.0,0.0,0,9.12,0.0,0.0
22312,2011-12-09,0.0,0.0,0,13.6,0.0,0.0
22314,2011-12-09,23.0,0.0,1,15.16,0.0,0.0
22319,2011-12-09,180.0,44.79679144385023,1,54.39,29.12,14.83
22340,2011-12-09,0.0,0.0,0,49.5,0.0,0.0
22352,2011-12-09,6.0,53.0,0,70.47,135.15,15.79
22355,2011-12-09,0.0,0.0,0,903.62,0.0,0.0
22356,2011-12-09,27.0,378.13368983957207,1,395.37,321.41,18.65
22382,2011-12-09,0.0,256.0,0,414.89,422.4,12.96
22393,2011-12-09,0.0,7.0,0,13.16,17.85,7.98
22403,2011-12-09,0.0,28.0,0,29.65,23.24,9.92
22413,2011-12-09,0.0,0.0,0,39.06,0.0,0.0
22422,2011-12-09,0.0,0.0,0,50.87,0.0,0.0
