feature,importance
revenue_vs_28d_avg,0.7204420512144235
qty_ewma_28,0.10575396851989462
inv_above_rop,0.07033060448547722
cumulative_qty,0.04252573851121605
quantity_roll_mean_28,0.03758444683201927
quantity_roll_median_28,0.006903027544607805
avg_daily_demand,0.004860741028827859
quantity_roll_std_56,0.0018428376026949687
price_vs_avg,0.0015347609615766976
quantity_roll_mean_56,0.001460659070284891
reorder_triggered,0.0014426898807723039
quantity_roll_std_28,0.0009101288327446748
quantity_lag28,0.0006970611199736166
qty_ewma_7,0.0006398460104421626
reorder_point,0.0005937248766514466
price_change_7d,0.00032883325193081296
revenue_lag28,0.0002831566214995689
quantity_roll_mean_14,0.00027659655657985034
quantity_roll_median_14,0.0002749798297978579
eoq,0.00026854035203539807
cos_week,0.00024229013061154275
revenue_roll_median_7,0.00024220105041474347
quantity_roll_median_56,0.00021948385172195718
quantity_lag35,0.00018854519221586974
quantity_roll_std_14,4.780771195218606e-05
revenue_roll_mean_28,3.432852190356288e-05
quantity_lag14,2.603775490337716e-05
revenue_roll_mean_7,1.9392309977683794e-05
revenue_trend,1.5529444136115834e-05
quantity_lag7,4.7670401295130305e-06
quantity_roll_median_7,2.662078691241005e-06
quantity_lag21,2.5373260180745313e-06
revenue_roll_median_28,2.4298025874988375e-08
revenue_roll_std_7,1.8584769071081285e-10
moq,0.0
lead_time_days,0.0
quarter,0.0
month,0.0
is_promotion,0.0
unit_price,0.0
days_to_newyear,0.0
is_cyber_monday,0.0
is_black_friday,0.0
is_christmas_season,0.0
is_holiday,0.0
is_quarter_end,0.0
is_month_end,0.0
is_month_start,0.0
is_weekend,0.0
day_of_month,0.0
day_of_week,0.0
week_of_year,0.0
closing_inventory,0.0
sku_avg_price,0.0
quantity_roll_mean_7,0.0
revenue_lag14,0.0
qty_lag7_same_dow,0.0
quantity_lag1,0.0
sin_year,0.0
cos_year,0.0
sin_week,0.0
inventory_value,0.0
coverage_days,0.0
revenue_lag7,0.0
quantity_roll_std_7,0.0
promotion_roll7,0.0
revenue_roll_std_28,0.0
promotion_lag1,0.0
days_of_supply,0.0
coverage_vs_lead,0.0
stock_turnover_28,0.0
demand_momentum,0.0
demand_trend_slope,0.0
demand_acceleration,0.0
is_new_product,0.0
demand_volatility,0.0
is_mature_product,0.0
abc_encoded,0.0
season_autumn,0.0
season_spring,0.0
season_summer,0.0
season_winter,0.0
category_encoded,0.0
dow_encoded,0.0
